id;case;fatalities;latitude;longitude;year
1;Welding shop shooting;8;25,796491;-80,226683;1982
2;San Ysidro McDonald's massacre;22;32,5520013;-117,0430813;1984
3;Dallas nightclub shooting;6;32,925166;-96,838676;1984
4;United States Postal Service shooting;15;35,6672015;-97,42937037;1986
5;Shopping centers spree killings;6;28,0331886;-80,6429695;1987
6;ESL shooting;7;37,3688301;-122,0363496;1988
7;Standard Gravure shooting;9;38,2542376;-85,759407;1989
8;Stockton schoolyard shooting;6;37,9577016;-121,2907796;1989
9;GMAC massacre;10;30,3321838;-81,655651;1990
10;Royal Oak postal shootings;5;42,4894801;-83,1446485;1991
11;University of Iowa shooting;6;41,6606893;-91,5302214;1991
12;Luby's massacre;24;31,1171194;-97,7277959;1991
13;Watkins Glen killings;5;42,3810555;-76,8705777;1992
14;Lindhurst High School shooting;4;39,07868761;-121,5475762;1992
15;Chuck E. Cheese's killings;4;39,675599;-104,844845;1993
16;Long Island Rail Road massacre;6;40,7267682;-73,6342955;1993
17;Luigi's shooting;4;35,0529931;-78,8787058;1993
18;101 California Street shootings;9;37,792968;-122,397973;1993
19;Air Force base shooting;5;47,61864486;-117,6483587;1994
20;Walter Rossler Company massacre;6;27,828025;-97,548198;1995
21;Fort Lauderdale revenge shooting;6;26,119269;-80,104119;1996
22;Caltrans maintenance yard shooting;5;33,7877944;-117,8531119;1997
23;R.E. Phelon Company shooting;4;33,5598586;-81,721952;1997
24;Thurston High School shooting;4;44,0462362;-123,0220289;1998
25;Westside Middle School killings;5;35,8209895;-90,6682606;1998
26;Connecticut Lottery shooting;5;41,6856325;-72,72983827;1998
27;Hotel shooting;5;27,966479;-82,570586;1999
28;Xerox killings;7;21,320063;-157,876462;1999
29;Wedgwood Baptist Church shooting;8;32,664511;-97,384246;1999
30;Atlanta day trading spree killings;9;33,850116;-84,377839;1999
31;Columbine High School massacre;13;39,604034;-105,074103;1999
32;Wakefield massacre;7;42,500429;-71,075913;2000
33;Navistar shooting;5;41,908163;-87,879908;2001
34;Lockheed Martin shooting;7;32,410842;-88,634539;2003
35;Damageplan show shooting;5;39,9622601;-83,0007065;2004
36;Red Lake massacre;10;47,876346;-95,0169401;2005
37;Living Church of God shooting;7;43,0605671;-88,1064787;2005
38;Amish school shooting;6;39,9589;-76,0806;2006
39;Capitol Hill massacre;7;47,6229;-122,3165;2006
40;Goleta postal shootings;8;34,425571;-119,866069;2006
41;Westroads Mall shooting;9;41,265719;-96,067495;2007
42;Crandon shooting;6;45,5719072;-88,9028922;2007
43;Virginia Tech massacre;32;37,2295733;-80,4139393;2007
44;Trolley Square shooting;6;40,7606467;-111,89109;2007
45;Atlantis Plastics shooting;6;37,76721;-87,5573742;2008
46;Northern Illinois University shooting;5;41,9294736;-88,7503647;2008
47;Kirkwood City Council shooting;6;38,580093;-90,40691;2008
48;Coffee shop police killings;4;47,15277;-122,467308;2009
49;Fort Hood massacre;13;31,135557;-97,783664;2009
50;Binghamton shootings;14;42,099802;-75,917723;2009
51;Carthage nursing home shooting;8;35,333434;-79,414592;2009
52;Hartford Beer Distributor shooting;9;41,798764;-72,570068;2010
53;Seal Beach shooting;8;33,741176;-118,1046356;2011
54;IHOP shooting;5;39,1637984;-119,7674034;2011
55;Tucson shooting;6;32,335941;-110,975132;2011
56;Sandy Hook Elementary massacre;27;41,4123225;-73,31142358;2012
57;Accent Signage Systems shooting;7;44,977425;-93,310408;2012
58;Sikh temple shooting;7;42,8858503;-87,8631362;2012
59;Aurora theater shooting;12;39,706038;-104,820594;2012
60;Seattle cafe shooting;6;47,6038321;-122,3300624;2012
61;Oikos University killings;7;37,8043808;-122,2708166;2012
62;Su Jung Health Sauna shooting;5;33,9412127;-84,2135309;2012
63;Washington Navy Yard shooting;12;38,874981;-76,99453;2013
64;Hialeah apartment shooting;7;25,864338;-80,311775;2013
65;Santa Monica rampage;6;34,008617;-118,494754;2013
66;Pinewood Village Apartment shooting;5;47,3129607;-122,3393665;2013
67;Mohawk Valley shootings;5;43,045601;-74,984891;2013
68;Marysville-Pilchuck High School shooting;5;48,050824;-122,176918;2014
69;Isla Vista mass murder;6;34,436283;-119,8714406;2014
70;Fort Hood shooting 2;3;31,141716;-97,777559;2014
71;Alturas tribal shooting;4;41,487104;-120,542237;2014
72;San Bernardino mass shooting;14;34,075961;-117,27789;2015
73;Planned Parenthood clinic;3;38,881031;-104,849057;2015
74;Colorado Springs shooting rampage;3;38,83755;-104,814251;2015
75;Umpqua Community College shooting;9;43,289538;-123,333193;2015
76;Chattanooga military recruitment center;5;35,047157;-85,311819;2015
77;Charleston Church Shooting;9;32,788387;-79,933143;2015
78;Trestle Trail bridge shooting;3;44,204124;-88,467541;2015
79;Cascade Mall shooting;5;48,461367;-122,337918;2016
80;Baton Rouge police shooting;3;30,433601;-91,081403;2016
81;Dallas police shooting;5;32,7801052;-96,8000082;2016
82;Orlando nightclub massacre;49;28,519718;-81,376777;2016
83;Excel Industries mass shooting;3;38,135992;-97,425145;2016
84;Kalamazoo shooting spree;6;42,236689;-85,674795;2016
85;Rancho Tehama shooting spree;5;40,018759;-122,393089;2017
86;Texas First Baptist Church massacre;26;29,273282;-98,056488;2017
87;Walmart shooting in suburban Denver;3;39,876374;-104,986132;2017
88;Edgewood businees park shooting;3;39,452189;-76,309988;2017
89;Las Vegas Strip massacre;58;36,095739;-115,171544;2017
90;San Francisco UPS shooting;3;37,765947;-122,406087;2017
91;Pennsylvania supermarket shooting;3;41,529546;-75,94722;2017
92;Florida awning manufacturer shooting;5;28,580295;-81,294086;2017
93;Rural Ohio nursing home shooting;3;39,959034;-82,596508;2017
94;Fresno downtown shooting;3;36,746378;-119,800319;2017
95;Fort Lauderdale airport shooting;5;26,072751;-80,143382;2017
96;Mercy Hospital shooting;3;41,847667;-87,622009;2018
97;Thousand Oaks nightclub shooting;12;34,176946;-118,874793;2018
98;Tree of Life synagogue shooting;11;40,443898;-79,921398;2018
99;Rite Aid warehouse shooting;3;39,455658;-76,208485;2018
100;T&T Trucking shooting;5;35,349388;-118,916335;2018
101;Fifth Third Center shooting;3;39,101981;-84,511782;2018
102;Capital Gazette shooting;5;38,994548;-76,543657;2018
103;Santa Fe High School shooting;10;29,392825;-95,141972;2018
104;Waffle House shooting;4;36,052521;-86,616944;2018
105;Yountville veterans home shooting;3;38,392496;-122,366528;2018
106;Marjory Stoneman Douglas High School shooting;17;26,30483;-80,269511;2018
107;Pennsylvania carwash shooting;4;40,052151;-79,389166;2018
108;Jersey City kosher market shooting;4;40,707363;-74,083609;2019
109;Pensacola Naval base shooting;3;30,364707;-87,288567;2019
110;Odessa-Midland shooting spree;7;31,925974;-102,2796;2019
111;Dayton entertainment district shooting;9;39,757312;-84,184947;2019
112;El Paso Walmart mass shooting;22;31,771068;-106,375655;2019
113;Gilroy garlic festival shooting;3;36,997191;-121,584819;2019
114;Virginia Beach municipal building shooting;12;36,75442;-76,060378;2019
115;Harry Pratt Co. warehouse shooting;5;41,753725;-88,331057;2019
116;Pennsylvania hotel bar shooting;3;40,785142;-77,839411;2019
117;SunTrust bank shooting;5;27,471043;-81,45847;2019
118;Springfield convenience store shooting;4;37,210432;-93,23686;2020
119;Molson Coors shooting;5;43,044511;-87,962537;2020
120;Oxford High School shooting;4;42,84410784;-83,25992831;2021
121;San Jose VTA shooting;9;37,316097;-121,888533;2021
122;FedEx warehouse shooting;8;39,68663;-86,32313;2021
123;Orange office complex shooting;4;33,83542;-117,85379;2021
124;Boulder supermarket shooting;10;39,986961;-105,251168;2021
125;Atlanta massage parlor shootings;8;34,111653;-84,580376;2021
126;Sacramento County church shooting;4;38,60111019;-121,4189659;2022
